dataset_id,header
covid-19-centres-depistage-et-vaccination,contact téléphonique 1
covid-19-centres-depistage-et-vaccination,contact téléphonique 2
covid-19-centres-depistage-et-vaccination,coordonnées gps
covid-19-centres-depistage-et-vaccination,dépistage le dimanche ?
covid-19-centres-depistage-et-vaccination,dépistage le samedi ?
covid-19-centres-depistage-et-vaccination,horaire dépistage dimanche
covid-19-centres-depistage-et-vaccination,horaire dépistage jeudi
covid-19-centres-depistage-et-vaccination,horaire dépistage lundi
covid-19-centres-depistage-et-vaccination,horaire dépistage mardi
covid-19-centres-depistage-et-vaccination,horaire dépistage mercredi
covid-19-centres-depistage-et-vaccination,horaire dépistage samedi
covid-19-centres-depistage-et-vaccination,horaire dépistage vendredi
covid-19-centres-depistage-et-vaccination,horaire vaccination jeudi
covid-19-centres-depistage-et-vaccination,horaire vaccination lundi
covid-19-centres-depistage-et-vaccination,horaire vaccination mardi
covid-19-centres-depistage-et-vaccination,horaire vaccination mercredi
covid-19-centres-depistage-et-vaccination,horaire vaccination samedi
covid-19-centres-depistage-et-vaccination,horaire vaccination vendredi
covid-19-centres-depistage-et-vaccination,horodatage dépistage
covid-19-centres-depistage-et-vaccination,horodatage vaccination
covid-19-centres-depistage-et-vaccination,nom de l'établissement
covid-19-centres-depistage-et-vaccination,propose de la vaccination ?
covid-19-centres-depistage-et-vaccination,propose du dépistage ?
covid-19-centres-depistage-et-vaccination,quartier
covid-19-centres-depistage-et-vaccination,﻿type
delai-paiement-facture-nc,délai moyen de paiement
delai-paiement-facture-nc,nb paiement
delai-paiement-facture-nc,﻿année de paiement
depistage_crc,a_revoir
depistage_crc,aacc
depistage_crc,absent_echo1
depistage_crc,age
depistage_crc,année de dépistage
depistage_crc,cl_echo1
depistage_crc,cl_echo2
depistage_crc,classe_unique
depistage_crc,clis
depistage_crc,cm1
depistage_crc,cm2
depistage_crc,com_ecole
depistage_crc,date_echo1
depistage_crc,date_echo2
depistage_crc,defaut_autoris_echo1
depistage_crc,libelle_cl_echo1
depistage_crc,libelle_cl_echo2
depistage_crc,libelle_province_ecole
depistage_crc,libelle_sexe
depistage_crc,prov_ecole
depistage_crc,raa_connu
depistage_crc,raa_connu_crc
depistage_crc,radie
depistage_crc,refus_enft_echo1
